set_id	syn_set	first_syn	query_long	query_short	query_short_translated	query_long_translated	class_id
n02865351	bolo tie, bolo, bola tie, bola	bolo tie	a photo of a bolo tie	a bolo tie	una cravatta bolo	una foto di una cravatta bolo	452
n02869837	bonnet, poke bonnet	bonnet	a photo of a bonnet	a bonnet	un cofano	una foto di un cofano	453
n02870880	bookcase	bookcase	a photo of a bookcase	a bookcase	una libreria	una foto di una libreria	454
n02871525	bookshop, bookstore, bookstall	bookshop	a photo of a bookshop	a bookshop	una libreria	una foto di una libreria	455
n02877765	bottlecap	bottlecap	a photo of a bottlecap	a bottlecap	un tappo di bottiglia	una foto di un tappo di bottiglia	456
n02879718	bow	bow	a photo of a bow	a bow	un arco	una foto di un arco	457
n02883205	bow tie, bow-tie, bowtie	bow tie	a photo of a bow tie	a bow tie	un papillon	una foto di un papillon	458
n02892201	brass, memorial tablet, plaque	brass	a photo of a brass	a brass	un ottone	una foto di un ottone	459
n02892767	brassiere, bra, bandeau	brassiere	a photo of a brassiere	a brassiere	un reggiseno	una foto di un reggiseno	460
n02894605	breakwater, groin, groyne, mole, bulwark, seawall, jetty	breakwater	a photo of a breakwater	a breakwater	un frangiflutti	una foto di un frangiflutti	461
n02895154	breastplate, aegis, egis	breastplate	a photo of a breastplate	a breastplate	una corazza	una foto di una corazza	462
n02906734	broom	broom	a photo of a broom	a broom	una scopa	una foto di una scopa	463
n02909870	bucket, pail	bucket	a photo of a bucket	a bucket	un secchio	una foto di un secchio	464
n02910353	buckle	buckle	a photo of a buckle	a buckle	una fibbia	una foto di una fibbia	465
n02916936	bulletproof vest	bulletproof vest	a photo of a bulletproof vest	a bulletproof vest	un giubbotto antiproiettile	una foto di un giubbotto antiproiettile	466
n02917067	bullet train, bullet	bullet train	a photo of a bullet train	a bullet train	un treno proiettile	una foto di un treno proiettile	467
n02927161	butcher shop, meat market	butcher shop	a photo of a butcher shop	a butcher shop	una macelleria	una foto di una macelleria	468
n02930766	cab, hack, taxi, taxicab	cab	a photo of a cab	a cab	un taxi	una foto di un taxi	469
n02939185	caldron, cauldron	caldron	a photo of a caldron	a caldron	un calderone	una foto di un calderone	470
n02948072	candle, taper, wax light	candle	a photo of a candle	a candle	una candela	una foto di una candela	471
n02950826	cannon	cannon	a photo of a cannon	a cannon	un cannone	una foto di un cannone	472
n02951358	canoe	canoe	a photo of a canoe	a canoe	una canoa	una foto di una canoa	473
n02951585	can opener, tin opener	can opener	a photo of a can opener	a can opener	un apriscatole	una foto di un apriscatole	474
n02963159	cardigan	cardigan	a photo of a cardigan	a cardigan	un cardigan	una foto di un cardigan	475
n02965783	car mirror	car mirror	a photo of a car mirror	a car mirror	uno specchio per auto	una foto di uno specchio per auto	476
n02966193	carousel, carrousel, merry-go-round, roundabout, whirligig	carousel	a photo of a carousel	a carousel	una giostra	una foto di una giostra	477
n02966687	carpenter's kit, tool kit	carpenter's kit	a photo of a carpenter's kit	a carpenter's kit	un kit da falegname	una foto di un kit da falegname	478
n02971356	carton	carton	a photo of a carton	a carton	un cartone	una foto di un cartone	479
n02974003	car wheel	car wheel	a photo of a car wheel	a car wheel	una ruota di automobile	una foto di una ruota di automobile	480
n02977058	cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM	cash machine	a photo of a cash machine	a cash machine	un bancomat	una foto di un bancomat	481
n02978881	cassette	cassette	a photo of a cassette	a cassette	una cassetta	una foto di una cassetta	482
n02979186	cassette player	cassette player	a photo of a cassette player	a cassette player	un lettore di cassette	una foto di un lettore di cassette	483
n02980441	castle	castle	a photo of a castle	a castle	un castello	una foto di un castello	484
n02981792	catamaran	catamaran	a photo of a catamaran	a catamaran	un catamarano	una foto di un catamarano	485
n02988304	CD player	CD player	a photo of a CD player	a CD player	un lettore CD	una foto di un lettore CD	486
n02992211	cello, violoncello	cello	a photo of a cello	a cello	un violoncello	una foto di un violoncello	487
n02992529	cellular telephone, cellular phone, cellphone, cell, mobile phone	cellular telephone	a photo of a cellular telephone	a cellular telephone	un telefono cellulare	una foto di un telefono cellulare	488
n02999410	chain	chain	a photo of a chain	a chain	una catena	una foto di una catena	489
n03000134	chainlink fence	chainlink fence	a photo of a chainlink fence	a chainlink fence	una recinzione di rete metallica	una foto di una recinzione di rete metallica	490
n03000247	chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour	chain mail	a photo of a chain mail	a chain mail	una cotta di maglia	una foto di una cotta di maglia	491
n03000684	chain saw, chainsaw	chain saw	a photo of a chain saw	a chain saw	una motosega	una foto di una motosega	492
n03014705	chest	chest	a photo of a chest	a chest	un petto	una foto di un petto	493
n03016953	chiffonier, commode	chiffonier	a photo of a chiffonier	a chiffonier	una chiffoniera	una foto di una chiffoniera	494
n03017168	chime, bell, gong	chime	a photo of a chime	a chime	una suoneria	una foto di una suoneria	495
n03018349	china cabinet, china closet	china cabinet	a photo of a china cabinet	a china cabinet	una vetrina per porcellane	una foto di una vetrina per porcellane	496
n03026506	Christmas stocking	Christmas stocking	a photo of a Christmas stocking	a Christmas stocking	una calza di Natale	una foto di una calza di Natale	497
n03028079	church, church building	church	a photo of a church	a church	una chiesa	una foto di una chiesa	498
n03032252	cinema, movie theater, movie theatre, movie house, picture palace	cinema	a photo of a cinema	a cinema	un cinema	una foto di un cinema	499
n03041632	cleaver, meat cleaver, chopper	cleaver	a photo of a cleaver	a cleaver	una mannaia	una foto di una mannaia	500
n03042490	cliff dwelling	cliff dwelling	a photo of a cliff dwelling	a cliff dwelling	una dimora sulla scogliera	una foto di una dimora sulla scogliera	501
n03045698	cloak	cloak	a photo of a cloak	a cloak	un mantello	una foto di un mantello	502
n03047690	clog, geta, patten, sabot	clog	a photo of a clog	a clog	un intasamento	una foto di un intasamento	503
n03062245	cocktail shaker	cocktail shaker	a photo of a cocktail shaker	a cocktail shaker	uno shaker da cocktail	una foto di uno shaker da cocktail	504
n03063599	coffee mug	coffee mug	a photo of a coffee mug	a coffee mug	una tazza da caffè	una foto di una tazza da caffè	505
n03063689	coffeepot	coffeepot	a photo of a coffeepot	a coffeepot	una caffettiera	una foto di una caffettiera	506
n03065424	coil, spiral, volute, whorl, helix	coil	a photo of a coil	a coil	una bobina	una foto di una bobina	507
n03075370	combination lock	combination lock	a photo of a combination lock	a combination lock	una serratura a combinazione	una foto di una serratura a combinazione	508
n03085013	computer keyboard, keypad	computer keyboard	a photo of a computer keyboard	a computer keyboard	una tastiera di computer	una foto di una tastiera di computer	509
n03089624	confectionery, confectionary, candy store	confectionery	a photo of a confectionery	a confectionery	una pasticceria	una foto di una pasticceria	510
n03095699	container ship, containership, container vessel	container ship	a photo of a container ship	a container ship	una nave container	una foto di una nave container	511
n03100240	convertible	convertible	a photo of a convertible	a convertible	una convertibile	una foto di una convertibile	512
n03109150	corkscrew, bottle screw	corkscrew	a photo of a corkscrew	a corkscrew	un cavatappi	una foto di un cavatappi	513
n03110669	cornet, horn, trumpet, trump	cornet	a photo of a cornet	a cornet	una cornetta	una foto di una cornetta	514
n03124043	cowboy boot	cowboy boot	a photo of a cowboy boot	a cowboy boot	uno stivale da cowboy	una foto di uno stivale da cowboy	515
n03124170	cowboy hat, ten-gallon hat	cowboy hat	a photo of a cowboy hat	a cowboy hat	un cappello da cowboy	una foto di un cappello da cowboy	516
n03125729	cradle	cradle	a photo of a cradle	a cradle	una culla	una foto di una culla	517
n03126707	crane	crane	a photo of a crane	a crane	una gru	una foto di una gru	518
n03127747	crash helmet	crash helmet	a photo of a crash helmet	a crash helmet	un casco di protezione	una foto di un casco di protezione	519
n03127925	crate	crate	a photo of a crate	a crate	una cassa	una foto di una cassa	520
n03131574	crib, cot	crib	a photo of a crib	a crib	una culla	una foto di una culla	521
n03133878	Crock Pot	Crock Pot	a photo of a Crock Pot	a Crock Pot	una pentola di coccio	una foto di una pentola di coccio	522
n03134739	croquet ball	croquet ball	a photo of a croquet ball	a croquet ball	una palla da croquet	una foto di una palla da croquet	523
n03141823	crutch	crutch	a photo of a crutch	a crutch	una stampella	una foto di una stampella	524
n03146219	cuirass	cuirass	a photo of a cuirass	a cuirass	una corazza	una foto di una corazza	525
n03160309	dam, dike, dyke	dam	a photo of a dam	a dam	una diga	una foto di una diga	526
n03179701	desk	desk	a photo of a desk	a desk	una scrivania	una foto di una scrivania	527
n03180011	desktop computer	desktop computer	a photo of a desktop computer	a desktop computer	un computer da tavolo	una foto di un computer da tavolo	528
n03187595	dial telephone, dial phone	dial telephone	a photo of a dial telephone	a dial telephone	un telefono a selezione	una foto di un telefono a selezione	529
n03188531	diaper, nappy, napkin	diaper	a photo of a diaper	a diaper	un pannolino	una foto di un pannolino	530
n03196217	digital clock	digital clock	a photo of a digital clock	a digital clock	un orologio digitale	una foto di un orologio digitale	531
n03197337	digital watch	digital watch	a photo of a digital watch	a digital watch	un orologio digitale	una foto di un orologio digitale	532
n03201208	dining table, board	dining table	a photo of a dining table	a dining table	un tavolo da pranzo	una foto di un tavolo da pranzo	533
n03207743	dishrag, dishcloth	dishrag	a photo of a dishrag	a dishrag	uno strofinaccio	una foto di uno strofinaccio	534
n03207941	dishwasher, dish washer, dishwashing machine	dishwasher	a photo of a dishwasher	a dishwasher	una lavastoviglie	una foto di una lavastoviglie	535
n03208938	disk brake, disc brake	disk brake	a photo of a disk brake	a disk brake	un freno a disco	una foto di un freno a disco	536
n03216828	dock, dockage, docking facility	dock	a photo of a dock	a dock	un molo	una foto di un molo	537
n03218198	dogsled, dog sled, dog sleigh	dogsled	a photo of a dogsled	a dogsled	una slitta trainata da cani	una foto di una slitta trainata da cani	538
n03220513	dome	dome	a photo of a dome	a dome	una cupola	una foto di una cupola	539
n03223299	doormat, welcome mat	doormat	a photo of a doormat	a doormat	uno zerbino	una foto di uno zerbino	540
n03240683	drilling platform, offshore rig	drilling platform	a photo of a drilling platform	a drilling platform	una piattaforma di perforazione	una foto di una piattaforma di perforazione	541
n03249569	drum, membranophone, tympan	drum	a photo of a drum	a drum	un tamburo	una foto di un tamburo	542
n03250847	drumstick	drumstick	a photo of a drumstick	a drumstick	una bacchetta	una foto di una bacchetta	543
n03255030	dumbbell	dumbbell	a photo of a dumbbell	a dumbbell	un manubrio	una foto di un manubrio	544
n03259280	Dutch oven	Dutch oven	a photo of a Dutch oven	a Dutch oven	un forno olandese	una foto di un forno olandese	545
n03271574	electric fan, blower	electric fan	a photo of a electric fan	a electric fan	un ventilatore elettrico	una foto di un ventilatore elettrico	546
n03272010	electric guitar	electric guitar	a photo of a electric guitar	a electric guitar	una chitarra elettrica	una foto di una chitarra elettrica	547
n03272562	electric locomotive	electric locomotive	a photo of a electric locomotive	a electric locomotive	una locomotiva elettrica	una foto di una locomotiva elettrica	548
n03290653	entertainment center	entertainment center	a photo of a entertainment center	a entertainment center	un centro di intrattenimento	una foto di un centro di intrattenimento	549
n03291819	envelope	envelope	a photo of a envelope	a envelope	una busta	una foto di una busta	550
n03297495	espresso maker	espresso maker	a photo of a espresso maker	a espresso maker	una macchina per il caffè espresso	una foto di una macchina per il caffè espresso	551
n03314780	face powder	face powder	a photo of a face powder	a face powder	una polvere per il viso	una foto di una polvere per il viso	552
n03325584	feather boa, boa	feather boa	a photo of a feather boa	a feather boa	un boa di piume	una foto di un boa di piume	553
n03337140	file, file cabinet, filing cabinet	file	a photo of a file	a file	un file	una foto di un file	554
n03344393	fireboat	fireboat	a photo of a fireboat	a fireboat	una barca antincendio	una foto di una barca antincendio	555
n03345487	fire engine, fire truck	fire engine	a photo of a fire engine	a fire engine	un'autopompa	una foto di un'autopompa	556
n03347037	fire screen, fireguard	fire screen	a photo of a fire screen	a fire screen	uno schermo per il fuoco	una foto di uno schermo per il fuoco	557
n03355925	flagpole, flagstaff	flagpole	a photo of a flagpole	a flagpole	un pennone	una foto di un pennone	558
n03372029	flute, transverse flute	flute	a photo of a flute	a flute	un flauto	una foto di un flauto	559
n03376595	folding chair	folding chair	a photo of a folding chair	a folding chair	una sedia pieghevole	una foto di una sedia pieghevole	560
n03379051	football helmet	football helmet	a photo of a football helmet	a football helmet	un casco da calcio	una foto di un casco da calcio	561
n03384352	forklift	forklift	a photo of a forklift	a forklift	un carrello elevatore	una foto di un carrello elevatore	562
n03388043	fountain	fountain	a photo of a fountain	a fountain	una fontana	una foto di una fontana	563
n03388183	fountain pen	fountain pen	a photo of a fountain pen	a fountain pen	una penna stilografica	una foto di una penna stilografica	564
n03388549	four-poster	four-poster	a photo of a four-poster	a four-poster	un baldacchino	una foto di un baldacchino	565
n03393912	freight car	freight car	a photo of a freight car	a freight car	un vagone merci	una foto di un vagone merci	566
n03394916	French horn, horn	French horn	a photo of a French horn	a French horn	un corno francese	una foto di un corno francese	567
n03400231	frying pan, frypan, skillet	frying pan	a photo of a frying pan	a frying pan	una padella	una foto di una padella	568
n03404251	fur coat	fur coat	a photo of a fur coat	a fur coat	una pelliccia	una foto di una pelliccia	569
n03417042	garbage truck, dustcart	garbage truck	a photo of a garbage truck	a garbage truck	un camion della spazzatura	una foto di un camion della spazzatura	570
n03424325	gasmask, respirator, gas helmet	gasmask	a photo of a gasmask	a gasmask	una maschera antigas	una foto di una maschera antigas	571
n03425413	gas pump, gasoline pump, petrol pump, island dispenser	gas pump	a photo of a gas pump	a gas pump	una pompa di benzina	una foto di una pompa di benzina	572
n03443371	goblet	goblet	a photo of a goblet	a goblet	un calice	una foto di un calice	573
n03444034	go-kart	go-kart	a photo of a go-kart	a go-kart	un go-kart	una foto di un go-kart	574
n03445777	golf ball	golf ball	a photo of a golf ball	a golf ball	una pallina da golf	una foto di una pallina da golf	575
n03445924	golfcart, golf cart	golfcart	a photo of a golfcart	a golfcart	un golfcart	una foto di un golfcart	576
n03447447	gondola	gondola	a photo of a gondola	a gondola	una gondola	una foto di una gondola	577
n03447721	gong, tam-tam	gong	a photo of a gong	a gong	un gong	una foto di un gong	578
n03450230	gown	gown	a photo of a gown	a gown	un abito	una foto di un abito	579
n03452741	grand piano, grand	grand piano	a photo of a grand piano	a grand piano	un pianoforte a coda	una foto di un pianoforte a coda	580
n03457902	greenhouse, nursery, glasshouse	greenhouse	a photo of a greenhouse	a greenhouse	una serra	una foto di una serra	581
n03459775	grille, radiator grille	grille	a photo of a grille	a grille	una griglia	una foto di una griglia	582
n03461385	grocery store, grocery, food market, market	grocery store	a photo of a grocery store	a grocery store	un negozio di alimentari	una foto di un negozio di alimentari	583
n03467068	guillotine	guillotine	a photo of a guillotine	a guillotine	una ghigliottina	una foto di una ghigliottina	584
n03476684	hair slide	hair slide	a photo of a hair slide	a hair slide	uno scivolo per capelli	una foto di uno scivolo per capelli	585
n03476991	hair spray	hair spray	a photo of a hair spray	a hair spray	una lacca per capelli	una foto di una lacca per capelli	586
n03478589	half track	half track	a photo of a half track	a half track	una mezza traccia	una foto di una mezza traccia	587
n03481172	hammer	hammer	a photo of a hammer	a hammer	un martello	una foto di un martello	588
n03482405	hamper	hamper	a photo of a hamper	a hamper	un cesto regalo	una foto di un cesto regalo	589
n03483316	hand blower, blow dryer, blow drier, hair dryer, hair drier	hand blower	a photo of a hand blower	a hand blower	un soffiatore a mano	una foto di un soffiatore a mano	590
n03485407	hand-held computer, hand-held microcomputer	hand-held computer	a photo of a hand-held computer	a hand-held computer	un computer portatile	una foto di un computer portatile	591
n03485794	handkerchief, hankie, hanky, hankey	handkerchief	a photo of a handkerchief	a handkerchief	un fazzoletto	una foto di un fazzoletto	592
n03492542	hard disc, hard disk, fixed disk	hard disc	a photo of a hard disc	a hard disc	un disco rigido	una foto di un disco rigido	593
n03494278	harmonica, mouth organ, harp, mouth harp	harmonica	a photo of a harmonica	a harmonica	un'armonica	una foto di un'armonica	594
n03495258	harp	harp	a photo of a harp	a harp	un'arpa	una foto di un'arpa	595
n03496892	harvester, reaper	harvester	a photo of a harvester	a harvester	una mietitrice	una foto di una mietitrice	596
n03498962	hatchet	hatchet	a photo of a hatchet	a hatchet	un'accetta	una foto di un'accetta	597
n03527444	holster	holster	a photo of a holster	a holster	una fondina	una foto di una fondina	598
n03529860	home theater, home theatre	home theater	a photo of a home theater	a home theater	un home theater	una foto di un home theater	599
n03530642	honeycomb	honeycomb	a photo of a honeycomb	a honeycomb	un nido d'ape	una foto di un nido d'ape	600
n03532672	hook, claw	hook	a photo of a hook	a hook	un gancio	una foto di un gancio	601
n03534580	hoopskirt, crinoline	hoopskirt	a photo of a hoopskirt	a hoopskirt	una gonna a cerchio	una foto di una gonna a cerchio	602
n03535780	horizontal bar, high bar	horizontal bar	a photo of a horizontal bar	a horizontal bar	una barra orizzontale	una foto di una barra orizzontale	603
n03538406	horse cart, horse-cart	horse cart	a photo of a horse cart	a horse cart	un carro di cavalli	una foto di un carro di cavalli	604
n03544143	hourglass	hourglass	a photo of a hourglass	a hourglass	una clessidra	una foto di una clessidra	605
n03584254	iPod	iPod	a photo of a iPod	a iPod	un iPod	una foto di un iPod	606
n03584829	iron, smoothing iron	iron	a photo of a iron	a iron	un ferro da stiro	una foto di un ferro da stiro	607
n03590841	jack-o'-lantern	jack-o'-lantern	a photo of a jack-o'-lantern	a jack-o'-lantern	una zucca	una foto di una zucca	608
n03594734	jean, blue jean, denim	jean	a photo of a jean	a jean	un jeans	una foto di un jeans	609
n03594945	jeep, landrover	jeep	a photo of a jeep	a jeep	una jeep	una foto di una jeep	610
n03595614	jersey, T-shirt, tee shirt	jersey	a photo of a jersey	a jersey	una maglia	una foto di una maglia	611
n03598930	jigsaw puzzle	jigsaw puzzle	a photo of a jigsaw puzzle	a jigsaw puzzle	un puzzle	una foto di un puzzle	612
n03599486	jinrikisha, ricksha, rickshaw	jinrikisha	a photo of a jinrikisha	a jinrikisha	a jinrikisha	una foto di a jinrikisha	613
n03602883	joystick	joystick	a photo of a joystick	a joystick	un joystick	una foto di un joystick	614
n03617480	kimono	kimono	a photo of a kimono	a kimono	un kimono	una foto di un kimono	615
n03623198	knee pad	knee pad	a photo of a knee pad	a knee pad	una ginocchiera	una foto di una ginocchiera	616
n03627232	knot	knot	a photo of a knot	a knot	un nodo	una foto di un nodo	617
n03630383	lab coat, laboratory coat	lab coat	a photo of a lab coat	a lab coat	un camice da laboratorio	una foto di un camice da laboratorio	618
n03633091	ladle	ladle	a photo of a ladle	a ladle	un mestolo	una foto di un mestolo	619
n03637318	lampshade, lamp shade	lampshade	a photo of a lampshade	a lampshade	un paralume	una foto di un paralume	620
n03642806	laptop, laptop computer	laptop	a photo of a laptop	a laptop	un computer portatile	una foto di un computer portatile	621
n03649909	lawn mower, mower	lawn mower	a photo of a lawn mower	a lawn mower	un tosaerba	una foto di un tosaerba	622
n03657121	lens cap, lens cover	lens cap	a photo of a lens cap	a lens cap	un copriobiettivo	una foto di un copriobiettivo	623
n03658185	letter opener, paper knife, paperknife	letter opener	a photo of a letter opener	a letter opener	un tagliacarte	una foto di un tagliacarte	624
n03661043	library	library	a photo of a library	a library	una biblioteca	una foto di una biblioteca	625
n03662601	lifeboat	lifeboat	a photo of a lifeboat	a lifeboat	una scialuppa di salvataggio	una foto di una scialuppa di salvataggio	626
n03666591	lighter, light, igniter, ignitor	lighter	a photo of a lighter	a lighter	un accendino	una foto di un accendino	627
n03670208	limousine, limo	limousine	a photo of a limousine	a limousine	una limousine	una foto di una limousine	628
n03673027	liner, ocean liner	liner	a photo of a liner	a liner	una fodera	una foto di una fodera	629
n03676483	lipstick, lip rouge	lipstick	a photo of a lipstick	a lipstick	un rossetto	una foto di un rossetto	630
n03680355	Loafer	Loafer	a photo of a Loafer	a Loafer	un mocassino	una foto di un mocassino	631
n03690938	lotion	lotion	a photo of a lotion	a lotion	una lozione	una foto di una lozione	632
n03691459	loudspeaker, speaker, speaker unit, loudspeaker system, speaker system	loudspeaker	a photo of a loudspeaker	a loudspeaker	un altoparlante	una foto di un altoparlante	633
n03692522	loupe, jeweler's loupe	loupe	a photo of a loupe	a loupe	una lente d'ingrandimento	una foto di una lente d'ingrandimento	634
n03697007	lumbermill, sawmill	lumbermill	a photo of a lumbermill	a lumbermill	una segheria	una foto di una segheria	635
n03706229	magnetic compass	magnetic compass	a photo of a magnetic compass	a magnetic compass	una bussola magnetica	una foto di una bussola magnetica	636
n03709823	mailbag, postbag	mailbag	a photo of a mailbag	a mailbag	una borsa della posta	una foto di una borsa della posta	637
n03710193	mailbox, letter box	mailbox	a photo of a mailbox	a mailbox	una cassetta postale	una foto di una cassetta postale	638
n03710637	maillot	maillot	a photo of a maillot	a maillot	un maillot	una foto di un maillot	639
n03710721	maillot, tank suit	maillot	a photo of a maillot	a maillot	un maillot	una foto di un maillot	640
n03717622	manhole cover	manhole cover	a photo of a manhole cover	a manhole cover	un tombino	una foto di un tombino	641
n03720891	maraca	maraca	a photo of a maraca	a maraca	una maraca	una foto di una maraca	642
n03721384	marimba, xylophone	marimba	a photo of a marimba	a marimba	una marimba	una foto di una marimba	643
n03724870	mask	mask	a photo of a mask	a mask	una maschera	una foto di una maschera	644
n03729826	matchstick	matchstick	a photo of a matchstick	a matchstick	un fiammifero	una foto di un fiammifero	645
n03733131	maypole	maypole	a photo of a maypole	a maypole	un palo di maggio	una foto di un palo di maggio	646
n03733281	maze, labyrinth	maze	a photo of a maze	a maze	un labirinto	una foto di un labirinto	647
n03733805	measuring cup	measuring cup	a photo of a measuring cup	a measuring cup	un misurino	una foto di un misurino	648
n03742115	medicine chest, medicine cabinet	medicine chest	a photo of a medicine chest	a medicine chest	una cassetta dei medicinali	una foto di una cassetta dei medicinali	649
n03743016	megalith, megalithic structure	megalith	a photo of a megalith	a megalith	un megalite	una foto di un megalite	650
n03759954	microphone, mike	microphone	a photo of a microphone	a microphone	un microfono	una foto di un microfono	651
n03761084	microwave, microwave oven	microwave	a photo of a microwave	a microwave	un microonde	una foto di un microonde	652
n03763968	military uniform	military uniform	a photo of a military uniform	a military uniform	un'uniforme militare	una foto di un'uniforme militare	653
n03764736	milk can	milk can	a photo of a milk can	a milk can	una lattina di latte	una foto di una lattina di latte	654
n03769881	minibus	minibus	a photo of a minibus	a minibus	un minibus	una foto di un minibus	655
n03770439	miniskirt, mini	miniskirt	a photo of a miniskirt	a miniskirt	una minigonna	una foto di una minigonna	656
n03770679	minivan	minivan	a photo of a minivan	a minivan	un minivan	una foto di un minivan	657
n03773504	missile	missile	a photo of a missile	a missile	un missile	una foto di un missile	658
n03775071	mitten	mitten	a photo of a mitten	a mitten	un guanto	una foto di un guanto	659
n03775546	mixing bowl	mixing bowl	a photo of a mixing bowl	a mixing bowl	una ciotola di miscelazione	una foto di una ciotola di miscelazione	660
n03776460	mobile home, manufactured home	mobile home	a photo of a mobile home	a mobile home	una casa mobile	una foto di una casa mobile	661
n03777568	Model T	Model T	a photo of a Model T	a Model T	un Modello T	una foto di un Modello T	662
n03777754	modem	modem	a photo of a modem	a modem	un modem	una foto di un modem	663
n03781244	monastery	monastery	a photo of a monastery	a monastery	un monastero	una foto di un monastero	664
n03782006	monitor	monitor	a photo of a monitor	a monitor	un monitor	una foto di un monitor	665
n03785016	moped	moped	a photo of a moped	a moped	un ciclomotore	una foto di un ciclomotore	666
n03786901	mortar	mortar	a photo of a mortar	a mortar	un mortaio	una foto di un mortaio	667
n03787032	mortarboard	mortarboard	a photo of a mortarboard	a mortarboard	una mortarboard	una foto di una mortarboard	668
n03788195	mosque	mosque	a photo of a mosque	a mosque	una moschea	una foto di una moschea	669
n03788365	mosquito net	mosquito net	a photo of a mosquito net	a mosquito net	una zanzariera	una foto di una zanzariera	670
n03791053	motor scooter, scooter	motor scooter	a photo of a motor scooter	a motor scooter	uno scooter	una foto di uno scooter	671
n03792782	mountain bike, all-terrain bike, off-roader	mountain bike	a photo of a mountain bike	a mountain bike	una bicicletta di montagna	una foto di una bicicletta di montagna	672
n03792972	mountain tent	mountain tent	a photo of a mountain tent	a mountain tent	una tenda di montagna	una foto di una tenda di montagna	673
n03793489	mouse, computer mouse	mouse	a photo of a mouse	a mouse	un topo	una foto di un topo	674
n03794056	mousetrap	mousetrap	a photo of a mousetrap	a mousetrap	una trappola per topi	una foto di una trappola per topi	675
n03796401	moving van	moving van	a photo of a moving van	a moving van	un furgone per traslochi	una foto di un furgone per traslochi	676
n03803284	muzzle	muzzle	a photo of a muzzle	a muzzle	una museruola	una foto di una museruola	677
n03804744	nail	nail	a photo of a nail	a nail	un chiodo	una foto di un chiodo	678
n03814639	neck brace	neck brace	a photo of a neck brace	a neck brace	un tutore per il collo	una foto di un tutore per il collo	679
n03814906	necklace	necklace	a photo of a necklace	a necklace	una collana	una foto di una collana	680
n03825788	nipple	nipple	a photo of a nipple	a nipple	un capezzolo	una foto di un capezzolo	681
n03832673	notebook, notebook computer	notebook	a photo of a notebook	a notebook	un quaderno	una foto di un quaderno	682
n03837869	obelisk	obelisk	a photo of a obelisk	a obelisk	un obelisco	una foto di un obelisco	683
n03838899	oboe, hautboy, hautbois	oboe	a photo of a oboe	a oboe	un oboe	una foto di un oboe	684
n03840681	ocarina, sweet potato	ocarina	a photo of a ocarina	a ocarina	un'ocarina	una foto di un'ocarina	685
n03841143	odometer, hodometer, mileometer, milometer	odometer	a photo of a odometer	a odometer	un contachilometri	una foto di un contachilometri	686
n03843555	oil filter	oil filter	a photo of a oil filter	a oil filter	un filtro dell'olio	una foto di un filtro dell'olio	687
n03854065	organ, pipe organ	organ	a photo of a organ	a organ	un organo	una foto di un organo	688
n03857828	oscilloscope, scope, cathode-ray oscilloscope, CRO	oscilloscope	a photo of a oscilloscope	a oscilloscope	un oscilloscopio	una foto di un oscilloscopio	689
n03866082	overskirt	overskirt	a photo of a overskirt	a overskirt	una sopragonna	una foto di una sopragonna	690
n03868242	oxcart	oxcart	a photo of a oxcart	a oxcart	un carro da buoi	una foto di un carro da buoi	691
n03868863	oxygen mask	oxygen mask	a photo of a oxygen mask	a oxygen mask	una maschera di ossigeno	una foto di una maschera di ossigeno	692
n03871628	packet	packet	a photo of a packet	a packet	un pacchetto	una foto di un pacchetto	693
n03873416	paddle, boat paddle	paddle	a photo of a paddle	a paddle	una pagaia	una foto di una pagaia	694
n03874293	paddlewheel, paddle wheel	paddlewheel	a photo of a paddlewheel	a paddlewheel	una ruota a pale	una foto di una ruota a pale	695
n03874599	padlock	padlock	a photo of a padlock	a padlock	un lucchetto	una foto di un lucchetto	696
n03876231	paintbrush	paintbrush	a photo of a paintbrush	a paintbrush	un pennello	una foto di un pennello	697
n03877472	pajama, pyjama, pj's, jammies	pajama	a photo of a pajama	a pajama	un pigiama	una foto di un pigiama	698
n03877845	palace	palace	a photo of a palace	a palace	un palazzo	una foto di un palazzo	699
n03884397	panpipe, pandean pipe, syrinx	panpipe	a photo of a panpipe	a panpipe	una panpipe	una foto di una panpipe	700
n03887697	paper towel	paper towel	a photo of a paper towel	a paper towel	un tovagliolo di carta	una foto di un tovagliolo di carta	701
n03888257	parachute, chute	parachute	a photo of a parachute	a parachute	un paracadute	una foto di un paracadute	702
n03888605	parallel bars, bars	parallel bars	a photo of a parallel bars	a parallel bars	una barra parallela	una foto di una barra parallela	703
n03891251	park bench	park bench	a photo of a park bench	a park bench	una panchina del parco	una foto di una panchina del parco	704
n03891332	parking meter	parking meter	a photo of a parking meter	a parking meter	un parchimetro	una foto di un parchimetro	705
n03895866	passenger car, coach, carriage	passenger car	a photo of a passenger car	a passenger car	un'autovettura	una foto di un'autovettura	706
n03899768	patio, terrace	patio	a photo of a patio	a patio	un patio	una foto di un patio	707
n03902125	pay-phone, pay-station	pay-phone	a photo of a pay-phone	a pay-phone	un telefono a pagamento	una foto di un telefono a pagamento	708
n03903868	pedestal, plinth, footstall	pedestal	a photo of a pedestal	a pedestal	un piedistallo	una foto di un piedistallo	709
n03908618	pencil box, pencil case	pencil box	a photo of a pencil box	a pencil box	una scatola di matite	una foto di una scatola di matite	710
